"Character","Description","Encoded Byte"
" &#0;","NULL (U+0000)"," 00"
" &#1;","START OF HEADING (U+0001)"," 01"
" &#2;","START OF TEXT (U+0002)"," 02"
" &#3;","END OF TEXT (U+0003)"," 03"
" &#4;","END OF TRANSMISSION (U+0004)"," 04"
" &#5;","ENQUIRY (U+0005)"," 05"
" &#6;","ACKNOWLEDGE (U+0006)"," 06"
" &#7;","BELL (U+0007)"," 07"
" &#8;","BACKSPACE (U+0008)"," 08"
" &#9;","CHARACTER TABULATION (U+0009)"," 09"
" &#10;","LINE FEED (LF) (U+000A)"," 0a"
" &#11;","LINE TABULATION (U+000B)"," 0b"
" &#12;","FORM FEED (FF) (U+000C)"," 0c"
" &#13;","CARRIAGE RETURN (CR) (U+000D)"," 0d"
" &#14;","SHIFT OUT (U+000E)"," 0e"
" &#15;","SHIFT IN (U+000F)"," 0f"
" &#16;","DATA LINK ESCAPE (U+0010)"," 10"
" &#17;","DEVICE CONTROL ONE (U+0011)"," 11"
" &#18;","DEVICE CONTROL TWO (U+0012)"," 12"
" &#19;","DEVICE CONTROL THREE (U+0013)"," 13"
" &#20;","DEVICE CONTROL FOUR (U+0014)"," 14"
" &#21;","NEGATIVE ACKNOWLEDGE (U+0015)"," 15"
" &#22;","SYNCHRONOUS IDLE (U+0016)"," 16"
" &#23;","END OF TRANSMISSION BLOCK (U+0017)"," 17"
" &#24;","CANCEL (U+0018)"," 18"
" &#25;","END OF MEDIUM (U+0019)"," 19"
" &#26;","SUBSTITUTE (U+001A)"," 1a"
" &#27;","ESCAPE (U+001B)"," 1b"
" &#28;","INFORMATION SEPARATOR FOUR (U+001C)"," 1c"
" &#29;","INFORMATION SEPARATOR THREE (U+001D)"," 1d"
" &#30;","INFORMATION SEPARATOR TWO (U+001E)"," 1e"
" &#31;","INFORMATION SEPARATOR ONE (U+001F)"," 1f"
" &#32;","SPACE (U+0020)"," 20"
" &#33;","EXCLAMATION MARK (U+0021)"," 21"
" &#34;","QUOTATION MARK (U+0022)"," 22"
" &#35;","NUMBER SIGN (U+0023)"," 23"
" &#36;","DOLLAR SIGN (U+0024)"," 24"
" &#37;","PERCENT SIGN (U+0025)"," 25"
" &#38;","AMPERSAND (U+0026)"," 26"
" &#39;","APOSTROPHE (U+0027)"," 27"
" &#40;","LEFT PARENTHESIS (U+0028)"," 28"
" &#41;","RIGHT PARENTHESIS (U+0029)"," 29"
" &#42;","ASTERISK (U+002A)"," 2a"
" &#43;","PLUS SIGN (U+002B)"," 2b"
" &#44;","COMMA (U+002C)"," 2c"
" &#45;","HYPHEN-MINUS (U+002D)"," 2d"
" &#46;","FULL STOP (U+002E)"," 2e"
" &#47;","SOLIDUS (U+002F)"," 2f"
" &#48;","DIGIT ZERO (U+0030)"," 30"
" &#49;","DIGIT ONE (U+0031)"," 31"
" &#50;","DIGIT TWO (U+0032)"," 32"
" &#51;","DIGIT THREE (U+0033)"," 33"
" &#52;","DIGIT FOUR (U+0034)"," 34"
" &#53;","DIGIT FIVE (U+0035)"," 35"
" &#54;","DIGIT SIX (U+0036)"," 36"
" &#55;","DIGIT SEVEN (U+0037)"," 37"
" &#56;","DIGIT EIGHT (U+0038)"," 38"
" &#57;","DIGIT NINE (U+0039)"," 39"
" &#58;","COLON (U+003A)"," 3a"
" &#59;","SEMICOLON (U+003B)"," 3b"
" &#60;","LESS-THAN SIGN (U+003C)"," 3c"
" &#61;","EQUALS SIGN (U+003D)"," 3d"
" &#62;","GREATER-THAN SIGN (U+003E)"," 3e"
" &#63;","QUESTION MARK (U+003F)"," 3f"
" &#64;","COMMERCIAL AT (U+0040)"," 40"
" &#65;","LATIN CAPITAL LETTER A (U+0041)"," 41"
" &#66;","LATIN CAPITAL LETTER B (U+0042)"," 42"
" &#67;","LATIN CAPITAL LETTER C (U+0043)"," 43"
" &#68;","LATIN CAPITAL LETTER D (U+0044)"," 44"
" &#69;","LATIN CAPITAL LETTER E (U+0045)"," 45"
" &#70;","LATIN CAPITAL LETTER F (U+0046)"," 46"
" &#71;","LATIN CAPITAL LETTER G (U+0047)"," 47"
" &#72;","LATIN CAPITAL LETTER H (U+0048)"," 48"
" &#73;","LATIN CAPITAL LETTER I (U+0049)"," 49"
" &#74;","LATIN CAPITAL LETTER J (U+004A)"," 4a"
" &#75;","LATIN CAPITAL LETTER K (U+004B)"," 4b"
" &#76;","LATIN CAPITAL LETTER L (U+004C)"," 4c"
" &#77;","LATIN CAPITAL LETTER M (U+004D)"," 4d"
" &#78;","LATIN CAPITAL LETTER N (U+004E)"," 4e"
" &#79;","LATIN CAPITAL LETTER O (U+004F)"," 4f"
" &#80;","LATIN CAPITAL LETTER P (U+0050)"," 50"
" &#81;","LATIN CAPITAL LETTER Q (U+0051)"," 51"
" &#82;","LATIN CAPITAL LETTER R (U+0052)"," 52"
" &#83;","LATIN CAPITAL LETTER S (U+0053)"," 53"
" &#84;","LATIN CAPITAL LETTER T (U+0054)"," 54"
" &#85;","LATIN CAPITAL LETTER U (U+0055)"," 55"
" &#86;","LATIN CAPITAL LETTER V (U+0056)"," 56"
" &#87;","LATIN CAPITAL LETTER W (U+0057)"," 57"
" &#88;","LATIN CAPITAL LETTER X (U+0058)"," 58"
" &#89;","LATIN CAPITAL LETTER Y (U+0059)"," 59"
" &#90;","LATIN CAPITAL LETTER Z (U+005A)"," 5a"
" &#91;","LEFT SQUARE BRACKET (U+005B)"," 5b"
" &#92;","REVERSE SOLIDUS (U+005C)"," 5c"
" &#93;","RIGHT SQUARE BRACKET (U+005D)"," 5d"
" &#94;","CIRCUMFLEX ACCENT (U+005E)"," 5e"
" &#95;","LOW LINE (U+005F)"," 5f"
" &#96;","GRAVE ACCENT (U+0060)"," 60"
" &#97;","LATIN SMALL LETTER A (U+0061)"," 61"
" &#98;","LATIN SMALL LETTER B (U+0062)"," 62"
" &#99;","LATIN SMALL LETTER C (U+0063)"," 63"
" &#100;","LATIN SMALL LETTER D (U+0064)"," 64"
" &#101;","LATIN SMALL LETTER E (U+0065)"," 65"
" &#102;","LATIN SMALL LETTER F (U+0066)"," 66"
" &#103;","LATIN SMALL LETTER G (U+0067)"," 67"
" &#104;","LATIN SMALL LETTER H (U+0068)"," 68"
" &#105;","LATIN SMALL LETTER I (U+0069)"," 69"
" &#106;","LATIN SMALL LETTER J (U+006A)"," 6a"
" &#107;","LATIN SMALL LETTER K (U+006B)"," 6b"
" &#108;","LATIN SMALL LETTER L (U+006C)"," 6c"
" &#109;","LATIN SMALL LETTER M (U+006D)"," 6d"
" &#110;","LATIN SMALL LETTER N (U+006E)"," 6e"
" &#111;","LATIN SMALL LETTER O (U+006F)"," 6f"
" &#112;","LATIN SMALL LETTER P (U+0070)"," 70"
" &#113;","LATIN SMALL LETTER Q (U+0071)"," 71"
" &#114;","LATIN SMALL LETTER R (U+0072)"," 72"
" &#115;","LATIN SMALL LETTER S (U+0073)"," 73"
" &#116;","LATIN SMALL LETTER T (U+0074)"," 74"
" &#117;","LATIN SMALL LETTER U (U+0075)"," 75"
" &#118;","LATIN SMALL LETTER V (U+0076)"," 76"
" &#119;","LATIN SMALL LETTER W (U+0077)"," 77"
" &#120;","LATIN SMALL LETTER X (U+0078)"," 78"
" &#121;","LATIN SMALL LETTER Y (U+0079)"," 79"
" &#122;","LATIN SMALL LETTER Z (U+007A)"," 7a"
" &#123;","LEFT CURLY BRACKET (U+007B)"," 7b"
" &#124;","VERTICAL LINE (U+007C)"," 7c"
" &#125;","RIGHT CURLY BRACKET (U+007D)"," 7d"
" &#126;","TILDE (U+007E)"," 7e"
" &#127;","DELETE (U+007F)"," 7f"
" &#128;","&lt;control&gt; (U+0080)"," c280"
" &#129;","&lt;control&gt; (U+0081)"," c281"
" &#130;","BREAK PERMITTED HERE (U+0082)"," c282"
" &#131;","NO BREAK HERE (U+0083)"," c283"
" &#132;","&lt;control&gt; (U+0084)"," c284"
" &#133;","NEXT LINE (NEL) (U+0085)"," c285"
" &#134;","START OF SELECTED AREA (U+0086)"," c286"
" &#135;","END OF SELECTED AREA (U+0087)"," c287"
" &#136;","CHARACTER TABULATION SET (U+0088)"," c288"
" &#137;","CHARACTER TABULATION WITH JUSTIFICATION (U+0089)"," c289"
" &#138;","LINE TABULATION SET (U+008A)"," c28a"
" &#139;","PARTIAL LINE FORWARD (U+008B)"," c28b"
" &#140;","PARTIAL LINE BACKWARD (U+008C)"," c28c"
" &#141;","REVERSE LINE FEED (U+008D)"," c28d"
" &#142;","SINGLE SHIFT TWO (U+008E)"," c28e"
" &#143;","SINGLE SHIFT THREE (U+008F)"," c28f"
" &#144;","DEVICE CONTROL STRING (U+0090)"," c290"
" &#145;","PRIVATE USE ONE (U+0091)"," c291"
" &#146;","PRIVATE USE TWO (U+0092)"," c292"
" &#147;","SET TRANSMIT STATE (U+0093)"," c293"
" &#148;","CANCEL CHARACTER (U+0094)"," c294"
" &#149;","MESSAGE WAITING (U+0095)"," c295"
" &#150;","START OF GUARDED AREA (U+0096)"," c296"
" &#151;","END OF GUARDED AREA (U+0097)"," c297"
" &#152;","START OF STRING (U+0098)"," c298"
" &#153;","&lt;control&gt; (U+0099)"," c299"
" &#154;","SINGLE CHARACTER INTRODUCER (U+009A)"," c29a"
" &#155;","CONTROL SEQUENCE INTRODUCER (U+009B)"," c29b"
" &#156;","STRING TERMINATOR (U+009C)"," c29c"
" &#157;","OPERATING SYSTEM COMMAND (U+009D)"," c29d"
" &#158;","PRIVACY MESSAGE (U+009E)"," c29e"
" &#159;","APPLICATION PROGRAM COMMAND (U+009F)"," c29f"
" &#160;","NO-BREAK SPACE (U+00A0)"," c2a0"
" &#161;","INVERTED EXCLAMATION MARK (U+00A1)"," c2a1"
" &#162;","CENT SIGN (U+00A2)"," c2a2"
" &#163;","POUND SIGN (U+00A3)"," c2a3"
" &#164;","CURRENCY SIGN (U+00A4)"," c2a4"
" &#165;","YEN SIGN (U+00A5)"," c2a5"
" &#166;","BROKEN BAR (U+00A6)"," c2a6"
" &#167;","SECTION SIGN (U+00A7)"," c2a7"
" &#168;","DIAERESIS (U+00A8)"," c2a8"
" &#169;","COPYRIGHT SIGN (U+00A9)"," c2a9"
" &#170;","FEMININE ORDINAL INDICATOR (U+00AA)"," c2aa"
" &#171;","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00AB)"," c2ab"
" &#172;","NOT SIGN (U+00AC)"," c2ac"
" &#173;","SOFT HYPHEN (U+00AD)"," c2ad"
" &#174;","REGISTERED SIGN (U+00AE)"," c2ae"
" &#175;","MACRON (U+00AF)"," c2af"
" &#176;","DEGREE SIGN (U+00B0)"," c2b0"
" &#177;","PLUS-MINUS SIGN (U+00B1)"," c2b1"
" &#178;","SUPERSCRIPT TWO (U+00B2)"," c2b2"
" &#179;","SUPERSCRIPT THREE (U+00B3)"," c2b3"
" &#180;","ACUTE ACCENT (U+00B4)"," c2b4"
" &#181;","MICRO SIGN (U+00B5)"," c2b5"
" &#182;","PILCROW SIGN (U+00B6)"," c2b6"
" &#183;","MIDDLE DOT (U+00B7)"," c2b7"
" &#184;","CEDILLA (U+00B8)"," c2b8"
" &#185;","SUPERSCRIPT ONE (U+00B9)"," c2b9"
" &#186;","MASCULINE ORDINAL INDICATOR (U+00BA)"," c2ba"
" &#187;","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00BB)"," c2bb"
" &#188;","VULGAR FRACTION ONE QUARTER (U+00BC)"," c2bc"
" &#189;","VULGAR FRACTION ONE HALF (U+00BD)"," c2bd"
" &#190;","VULGAR FRACTION THREE QUARTERS (U+00BE)"," c2be"
" &#191;","INVERTED QUESTION MARK (U+00BF)"," c2bf"
" &#192;","LATIN CAPITAL LETTER A WITH GRAVE (U+00C0)"," c380"
" &#193;","LATIN CAPITAL LETTER A WITH ACUTE (U+00C1)"," c381"
" &#194;","LATIN CAPITAL LETTER A WITH CIRCUMFLEX (U+00C2)"," c382"
" &#195;","LATIN CAPITAL LETTER A WITH TILDE (U+00C3)"," c383"
" &#196;","LATIN CAPITAL LETTER A WITH DIAERESIS (U+00C4)"," c384"
" &#197;","LATIN CAPITAL LETTER A WITH RING ABOVE (U+00C5)"," c385"
" &#198;","LATIN CAPITAL LETTER AE (U+00C6)"," c386"
" &#199;","LATIN CAPITAL LETTER C WITH CEDILLA (U+00C7)"," c387"
" &#200;","LATIN CAPITAL LETTER E WITH GRAVE (U+00C8)"," c388"
" &#201;","LATIN CAPITAL LETTER E WITH ACUTE (U+00C9)"," c389"
" &#202;","LATIN CAPITAL LETTER E WITH CIRCUMFLEX (U+00CA)"," c38a"
" &#203;","LATIN CAPITAL LETTER E WITH DIAERESIS (U+00CB)"," c38b"
" &#204;","LATIN CAPITAL LETTER I WITH GRAVE (U+00CC)"," c38c"
